Country,growthRate,netChange,1980,2000,2010,2022,2023,2030,2050
United States,0.005,0.0581,223140018,282398554,311182845,338289857,339996563,352162301,375391963
Canada,0.0085,0.0104,24511510,30683313,33963412,38454327,38781291,41008596,45890819
